Unnamed: 0,번호,제목,저자,출판사,출판일,학위논문사항
,92,"Essays on the economics of transition : why is ""big bang"" implosive in output and explosive in prices, while controlled marginal reform isn't?   [microform]","Li, Wei",University of Michigan,1994,해외박사
,93,Educational funding in Michigan since 1994:  How did the big winners spend the money?,"Emerson, Bert",Michigan State University,2005,해외박사(DDOD)
,94,Semantic-Aware Data Management for Data-Driven Applications = 데이터 중심 응용프로그램에서의 의미론적 데이터관리 기법,이계원,서울대학교 대학원,2022,국내박사
,95,Collaborative Discovery of Data Analytics Opportunities for Smart Manufacturing = 스마트 제조를 위한 데이터 분석 기회 협업 탐색 방법론,박현섭,포항공과대학교 대학원,2021,국내박사
,96,Regional Planning for Island Destinations in Application of Text Data Mining: Targeting Bali and Lombok Island of Indonesia = 텍스트마이닝(Text Mining)기법을 응용한 섬지역 개발 방법 연구: 인도네시아 발리섬과 롬복섬을 대상으로,박재아,서울대학교 대학원,2023,국내석사
,97,(A) data-driven analysis of antisocial comments in online news communities,"Jeong, Yoo-kyung","Graduate School, Yonsei University",2017,국내박사
,98,Resource Management for Advanced Data Analytics at Large Scale,"Zhang, Haoyu",Princeton University,2018,해외박사(DDOD)
,99,"Heterogeneous graphs versus multimodal content: Modeling, mining, and analysis of social network data","Chelmis, Charalampos",University of Southern California,2013,해외박사(DDOD)
,100,Research on Edible Insects as an Alternative Food Source through Data Science Approach : Text mining for Perception Survey and Protein Solubility Prediction Machine Learning Models = 데이터과학적 접근의 식용 곤충 연구: 텍스트 마이닝 활용 인식조사와 단백질 용해도 예측모델 구축,Kyungmo Kang,고려대학교  대학원,2024,국내박사
,1,New Machine Learning Models for Data Mining Ecosystem,TRAN DUY THANH,한국해양대학교 대학원,2023,국내박사
,2,A Study on Policy Framework for Data Management in the Science and Technology Sector of Ethiopia,Meron Kifelew Melkamu,부산대학교 대학원,2019,국내석사
,3,(A) study on efficient data analysis using machine learning and deep learning algorithms,"Nikitha, Johnsirani Venkatesan",Sungkyunkwan university,2020,국내박사
,4,Performance prediction model for data-parallel workload in distributed processing environment,명노영,"Graduate School, Korea University",2021,국내박사
,5,MRTARM: MapReduce-based Temporal Association Rule Mining in Web Log Data,"Yu,Xiuming",충북대학교,2016,국내박사
,6,Factors affecting data-based policy making in Mongolia : Focus on the role of transformational leadership,"Ulaankhuu, Narantuya",Sungkyunkwan University,2023,국내석사
,7,Data-driven Decision Making with Dynamic Learning Under Uncertainty: Theory and Applications,"Li, Yuexing",Duke University,2022,해외박사(DDOD)
,8,New Approaches to Constructing and Evaluating Data Subsamples for Large and Dynamic Data Structures,"Davis, Ethan Michael",North Carolina State University,2022,해외박사(DDOD)
,9,(An) analysis of regional characteristics according to city safety related key words shown in Twitter data : focusing on Seoul 10 districts,왕정갑,"Graduate School, Yonsei University",2015,국내석사
,10,Personal Physical Activity Time series data analysis research based on wearable sensor of lung cancer patients. = 웨어러블 센서를 착용한 폐암환자의 개인 운동량 시계열 데이터 분석 연구,박기혁,성균관대학교 일반대학원,2017,국내석사
,11,Data-Driven Cyber-Physical Systems via Real-Time Stream Analytics and Machine Learning,"Akkaya, Ilge","University of California, Berkeley",2016,해외박사(DDOD)
,12,Explainable Artificial Intelligence for Spatiotemporal Data Analysis,박훈석,경희대학교 대학원,2022,국내박사
,13,A Software Architectural Design for Automated Data Processing in Data-Intensive Software Systems,"Hakeem, Mazin",University of Colorado at Boulder,2019,해외박사(DDOD)
,14,Maritime Data Analytics Using Explainable Artificial Intelligence for Energy-Efficient Shipping and Condition Monitoring of Marine Equipment = 설명가능한 인공지능 기반 해양 데이터 분석을 통한 에너지 효율적 선박 운항 및 해양 장비 상태 모니터링,HANDAYANI MELIA PUTRI,국립부경대학교 대학원,2024,국내박사
,15,PROACTIVE MAINTENANCE FOR EVOLVING LINKED DATA USING CHANGE-AWARE QUERY CACHING,USMAN AKHTAR,경희대학교 대학원,2021,국내박사
,16,Data-driven Design Approaches for Vehicle Specification Changes,이민구,서울대학교 대학원,2020,국내박사
,17,Data-driven machine learning approaches to detect unexpected data using limited data,김영환,"School of Cybersecurity, Korea University",2022,국내박사
,18,A Study on visual art interaction phenomenon based on data core drive = 데이터 코어 드라이브 기반 시각예술 인터렉션 현상에 관한 연구,채연,동방문화대학원대학교,2024,국내박사
,19,"동기 부여된 매개 메시지 처리에 있어서 제한된 용량 모델 (LC4MP)의 인터랙티브 데이터 저널리즘 적용 : 시선추적 연구 = Applying the Limited Capacity Model of Motivated Mediated Message Processing (LC4MP) to the Interactive Data Journalism,An Eye-tracking Study",한정,경성대학교 일반대학원,2022,국내박사
,20,Data compression and quality management techniques for wide-area monitoring systems via data mining approaches,이결,"Graduate School, Yonsei University",2023,국내박사
,21,Implementation and application of semantic network analysis support system for social media data,송종휘,"Graduate School, Yonsei University",2023,국내박사
,22,Dependable Infrastructure for Data Market Based on Trusted Execution Environments,"Lee, Seung Ho",고려대학교 정보보호대학원,2021,국내박사
,23,Data Chef: Study on User Custom Data Service Model for Improving Data Service Reliability,김윤곤,경희대학교 일반대학원,2016,국내석사
,24,데이터 과학자에게 필요한 스킬과 지식에 관한 연구 : Requisite Skills and Knowledge of Data Scientists: Content Analysis of Internet Job Advertisements :인터넷 구인광고 내용 분석 중심으로,김존요한,계명대학교 대학원,2014,국내박사
,25,Data-driven Approach for the Development of a Finite Element Model for Composite Thin-walled Beam,신동일,서울대학교 대학원,2019,국내박사
,26,Exploring data curation work in a national clinical registry: A case study of the CathPCI RegistryRTM,"von Eberstein, Alison M",The Florida State University,2016,해외박사(DDOD)
,27,Statistical Estimation and Inference for Large-Scale Categorical Data,"Li, Chengcheng",University of Michigan,2022,해외박사(DDOD)
,28,Complex Data Processing with Novel Memristor Array = 참신한 멤리스터 어레이를 이용한 복잡한 데이터 처리,장윤호,서울대학교 대학원,2023,국내박사
,29,Using XAI to support machine learning classification in financial imbalanced data,류혜선,"Graduate School, Yonsei University",2024,국내박사
,30,Protecting Data Privacy with Decentralized Self-Emerging Data Release Systems,"Li, Chao",University of Pittsburgh,2019,해외박사(DDOD)
,31,Location-based Data Integration for Unified Information Management in Construction Projects = 건설프로젝트의 통합 정보 관리를 위한 위치 기반 데이터 연계,이지원,서울대학교 대학원,2024,국내석사
,32,Effective Data Acquisition for 4th Industrial Revolution,김천용,忠南大學校 大學院,2019,국내박사
,33,Using data replication to improve data accessibility in vehicular Ad-hoc networks,박성진,"Graduate School, Korea University",2013,국내석사
,34,LAPUTA:Secure Data Analytics using Secret Data with Fine-grained Policy Enforcement = LAPUTA:세밀한 데이터 사용정책 강제를 활용한 안전한 기밀 데이터 분석,김병욱,서울대학교 대학원,2024,국내석사
,35,A Data- Based Assessment of Mobile Network Service Quality in Ghana,KOMEYNII AYITEY,숭실대학교 정보과학대학원,2023,국내석사
,36,Auditory data pattern analysis for differential diagnosis of hidden hearing loss,김민곤,한양대학교 대학원,2021,국내석사
,37,Designing high-performance and scalable heterogeneous storage systems for data-intensive computing,"Song, Yongju",Sungkyunkwan University,2023,국내박사
,38,대용량 센서 시그널을 위한 분산 데이터마이닝 기반 스파스 자동회귀 그룹 라소 = Sparse autoregressive-group lasso with distributed data mining for large-scale sensor signal,김지현,한양대학교 대학원,2018,국내석사
,39,클라우드 컴퓨팅의 데이터 보안 분석 : Analysis of Data Security in Cloud Computing = Analysis of Data Security in Cloud Computing,Naranbaatar Ankhbayar,동국대학교,2019,국내석사
,40,Architecture for Managing and Analyzing Data of Hadoop-based Mobile App : 하둡 기반 모바일 앱의 데이터 관리 및 분석을 위한 아키텍처,장정란,숭실대학교 일반대학원,2013,국내석사
,41,Transfer Learning of Fully Connected Neural Networks for Functional Magnetic Resonance Imaging Data : evaluations using a large public dataset and a small local dataset = 기능성 자기공명영상 데이터에 완전 연결된 신경망 기반 전이학습 적용: 대량의 공공 데이터셋 및 소량의 로컬 데이터셋을 활용한 검증,"Hwang, Jun Dong",고려대학교 대학원,2023,국내석사
,42,Generating Configuration file for ETL of data using Data Ingestion Tools in IoT = IoT환경에서 데이터 수집 도구에서의 ETL을 위한 설정 파일 생성 방법,하마드,숭실대학교 대학원,2020,국내석사
,43,Space-efficient Representation of Semi-structured Document Formats Utilizing Succinct Data Structures = 간결한 자료구조를 활용한 반구조화된 문서 형식들의 공간 효율적 표현법,이준희,서울대학교 대학원,2021,국내박사
,44,Analyzing and Classifying Factors for Desired Target Feature Utilizing Driving Data = 하이브리드 차량 주행 데이터 분류 및 분석을 통한 설정한 타겟 데이터 관련 핵심 인자 추출 방법론,장성현,서울대학교 대학원,2021,국내석사
,45,Application and evaluation of a common data model to multicenter workers' health examination data,심주호,"Graduate School, Yonsei University",2023,국내박사
,46,Efficient updates of linked data views in stream processing,"Chun, Sejin","Graduate School, Yonsei University",2018,국내박사
,47,New methods for finding significant gene modules using emerging biological data,김정림,"Graduate School, Yonsei University",2019,국내박사
,48,(A) Review of TLS 3D point cloud data for determining structure geometry,"칼루파드, 마크 조셉",동아대학교 대학원,2023,국내석사
,49,Advanced Clustering Methods and Applications for Data Visualization,"Wu, Bo",Auburn University,2018,해외박사(DDOD)
,50,Quantifying Equity and Equity Biases in Transportation and Data   [electronic resource],"Ricord, Samuel",University of Washington,2023,해외박사(DDOD)
,51,Cost-effective cloud data processing,"Lang, Willis",The University of Wisconsin - Madison,2012,해외박사(DDOD)
,52,Development of a data-driven methodology for design of new service concepts for personal vehicle operations management = 데이터 기반의 개인 차량 운행 지원 서비스 컨셉 설계 방법론 개발,김민준,Pohang University of Science and Technology,2017,국내박사
,53,(The) perception of privacy data usage and the potentials of data market formation in smart city : focused on health and medical data,주지현,"Graduate School, Yonsei University",2022,국내박사
,54,"Generalized Plot Matrices, Automatic Cognostics, and Efficient Data Exploration","Schloerke, Barret",Purdue University,2017,해외박사(DDOD)
,55,Integrating Quantitative and Qualitative Data with Deep Learning for Company Recommendations = 딥러닝 기반 양적 및 질적 데이터 결합을 활용한 회사 추천,조성지,서울대학교 대학원,2024,국내석사
,56,High-performance cloud data management,"Floratou, Avrilia",The University of Wisconsin - Madison,2013,해외박사(DDOD)
,57,Exploring the methods of transforming unstructured data into structured data and their impact on a churn prediction model,정훈,"Graduate School, Yonsei University",2020,국내박사
,58,Edge Cloud Based Sensor Data Processing Optimization Method,홍기대,경희대학교 대학원,2023,국내석사
,59,Logic Imitating Approach based on Data-driven Model for Image Classification : Data-driven model 기반 영상분류를 위한 논리 모방 접근법,정유수,경북대학교 대학원,2019,국내박사
,60,Modeling Dependence in Large and Complex Data Sets,"Zhang, Chao","University of California, Santa Barbara",2022,해외박사(DDOD)
,61,Development and Roadmapping of Smart Service Systems Using Data-driven and User Innovation Approach,한민탁,서울대학교 대학원,2019,국내박사
,62,Statistical Analysis of Large Scale Data with Perturbation Subsampling,"Yao, Yujing",Columbia University,2022,해외박사(DDOD)
,63,Tools and theory to improve data analysis,"Grolemund, Garrett",Rice University,2012,해외박사(DDOD)
,64,SEMANTIC SEQUENCE CONTRACTION AND EXPANSION FOR DATA INTEROPERABILITY,Fahad Ahmed Satti,경희대학교 대학원,2023,국내박사
,65,Design and implementation of multi-modal data acquisition system for behavioral analysis of livestock,박기철,중앙대학교 대학원,2022,국내석사
,66,"Deep learning for electric load data analytics : forecasting, feature extraction, and missing imputation = 전력 데이터 분석을 위한 딥 러닝 : 수요 예측, 부하 특징 분석과 결측 처리",류승형,서강대학교,2020,국내박사
,67,Distribution-based Summarization for Large Scale Simulation Data Visualization and Analysis,"Wang, Ko-Chih",The Ohio State University,2019,해외박사(DDOD)
,68,Acquisition and utilization of private data for mobile app success,常珮珮,"Graduate School, Korea University",2022,국내석사
,69,Development of influenza surveillance model based on internet search query and social media data,우혜경,서울대학교 보건대학원,2015,국내박사
,70,Predicting COVID-19 Severity on Time-course Clinical Data using LSTM : LSTM을 이용한 시계열 임상 데이터 기반 COVID-19 중증도 예측,김동희,경북대학교 대학원,2023,국내석사
,71,(A) study on the radiation toxicity prediction by using data mining and artificial intelligence,김광현,Korea University,2018,국내박사
,72,A Study on the establishment of autonomous operation system for data-based water purification facilities,박대원,KDI School of Public Policy and Management,2021,국내석사
,73,Edge Cloud Services to Improve Cloud Efficiency in IoT Data Analysis,박치원,경희대학교 대학원,2023,국내석사
,74,Semantic Keyword Search on Large-Scale Semi-Structured Data,"Shan, Yi",Arizona State University,2016,해외박사(DDOD)
,75,Fast and Memory-Efficient Subspace Embeddings for Tensor Data with Applications,"Zare, Ali",Michigan State University,2022,해외박사(DDOD)
,76,Probabilistic prediction on structural responses of cable-stayed bridges using data-driven approaches,Minsun Kim,Ulsan National Institute of Science and Technology,2024,국내박사
,77,Development of artificial intelligence applied drug physicochemical property prediction program: comparative verification between actual data and AI-predicted data in various model drugs = 인공지능을 활용한 약물의 물리화학적 특성 예측 프로그램의 개발 : 다양한 모델 약물에서 실제데이터와 AI 예측데이터의 비교검증,Jung Eun-A,국민대학교 일반대학원,2023,국내석사
,78,MKB-Tree: A B-Tree Based Spatial Index for Mobile LBS Real-Time Data Stream in NoSQL Database,오택군,인하대학교 대학원,2012,국내석사
,79,Elucidating the Physiological and Genomic Underpinnings of Lipid-Related Metabolic Disorders and Leveraging Farm Data Streams to Predict Disorder Cases,"Pralle, Ryan Selz",The University of Wisconsin - Madison,2020,해외박사(DDOD)
,80,A study on methodology for trend analysis and technology forecasting using unstructured patent data and natural language processing : focused on case of biopharmaceutical field,김시우,차의과학대학교 일반대학원,2022,국내석사
,81,Federated augmentation : how to fill missing data for on-device machine learning,정은정,"Graduate School, Yonsei University",2020,국내석사
,82,Design domain-adaptive generative performance optimization using designable data augmentation,강민성,"Graduate School, Yonsei University",2021,국내석사
,83,Data-driven sensitivity analysis using residual bootstrap via SVR,이재훈,한양대학교 대학원,2022,국내박사
,84,Deep Learning-Based Approaches for High-Dimensional Clinical and Genetic Data,"Mi, Xinlei",University of Florida,2018,해외박사(DDOD)
,85,Data Quality Assessment Applied in the Internet of Things = IoT 데이터 품질 평가,"Zhang, Lina",군산대학교,2023,국내박사
,86,Data-driven diagnostics and prognostics methodology for smart manufacturing,유영지,Korea University,2019,국내박사
,87,Data-driven material design methodologies by high-throughput screening and machine learning,"Yeo,  Byungchul","Graduate School, Yonsei University",2018,국내박사
,88,DDAD framework for designing data-driven subscription-based servitization experience scenarios : focus on refrigerators and F&B subscription,"Chae, Ina",Sungkyunkwan University,2023,국내박사
,89,"Improving Data Science Team Performance via the Use of a Kanban Process Framework that has Enhanced Mentoring, Coaching and Metrics Utilization","Shamshurin, Ivan",Syracuse University,2019,해외박사(DDOD)
,90,Hybrid modeling of copulas and linear mixed effects for longitudinal data,유천천,중앙대학교 대학원,2020,국내석사
,91,"Statistical Estimation and Inference for Distributed, Online Streaming, and Adaptively Collected Data","Li, He",New York University,2023,해외박사(DDOD)
,92,Machine Learning Toolbox and PCA Visualization for Data-Driven PHM,Sunhee Woo,Graduate School of UNIST,2017,국내석사
,93,Non-stationary text data analysis with convolutional neural network and incremental clustering,"Kwak, Juen","Graduate School, Yonsei University",2018,국내박사
,94,Representation Learning for Biological Sequence Data = 생물학적 서열 데이터에 대한 표현 학습,민선우,서울대학교 대학원,2021,국내박사
,95,Hardware Acceleration to Address the Costs of Data Movement,"Valavi, Hossein",Princeton University,2020,해외박사(DDOD)
,96,On Directional Regression Approach for Right-Censored Survival Data Analysis,김세은,이화여자대학교 대학원,2024,국내석사
,97,Effects of public transportation infrastructure and services on individual travel behavior using a data-driven approach,공재형,"Graduate School, Yonsei University",2022,국내석사
,98,Application of Domain-Specific Language Processing for Medical and Chemical Text Data Analysis = 의료 및 화학 텍스트 데이터 분석을 위한 도메인 특화 언어 처리의 활용,Sunho Choi,고려대학교  대학원,2024,국내박사
,99,Innovative Ultrasonic Nondestructive Testing Based on the Integration of Data Processing and Neural Networks = 데이터 처리 및 신경망 통합을 기반으로 한 혁신적인 초음파 비파괴 검사,Azamatjon Kakhramon ugli Malikov,부산대학교,2023,국내박사
,100,Clinical outcomes and systemic complications related to the severity and etiology of status epilepticus using  the common data model,박진,이화여자대학교 대학원,2022,국내박사
,1,(An) exploratory and empirical study of competitive market structure by using Google trends data,심우찬,"Graduate Scool, Korea University",2016,국내석사
,2,Development of an arterial wave simulation system integrating blood flow-tissue and implementation of simulation data-driven deep learning algorithm = 혈류-조직 통합 동맥파 시뮬레이션 시스템 및 이를 활용한 딥러닝 알고리즘 개발,EuiCheol Jung,강원대학교 대학원,2021,국내박사
,3,Data-driven approaches to improve dependability of cloud services,"Potharaju, Rahul",Purdue University,2014,해외박사(DDOD)
,4,Data-Driven Studies of Transient Events and Aperiodic Motions,"Wang, Rui","University of Maryland, College Park",2019,해외박사(DDOD)
,5,Data Science in Scanning Probe Microscopy: Advanced Analytics and Machine Learning,"Dusch, William",The Pennsylvania State University,2019,해외박사(DDOD)
,6,Bayesian Models for High-Dimensional Discrete Multivariate Data,"Hauser, Paloma A",The University of North Carolina at Chapel Hill,2023,해외박사(DDOD)
,7,Data epistemologies / surveillance and uncertainty,"Hong, Sun ha",University of Pennsylvania,2016,해외박사(DDOD)
,8,Data-Driven Approaches for Peer-to-Peer Botnet Detection and Forecasting,"Piyasinghe, Priyangika R",Iowa State University,2019,해외박사(DDOD)
,9,A Data-driven strategy for the development of a smart intercity bus system in Ecuador : a comparative public policy analysis between South Korea and Ecuador,"SUNTAXI, Paola Fernanda",KDI School of Public Policy and Management,2020,국내석사
,10,Near Data Processing for Clustering Enhanced by Automatic Memory Disaggregation,Sanghoon Lee,DGIST,2023,국내석사
,11,A Data-Driven Approach to Calculating Nodal Net Load Forecasts in Power Systems Analysis,"Ausmus, Jason R",Colorado School of Mines,2020,해외박사(DDOD)
,12,Large Data Approaches to Thresholding Problems,"Lu, Zhiyuan",University of Michigan,2019,해외박사(DDOD)
,13,Towards Data-Driven Methods for Complex Systems: Unfolding the Crumpling Dynamics of Thin Sheets,"Andrejevic, Jovana",Harvard University,2022,해외박사(DDOD)
,14,Bayesian Dynamic Data Borrowing Methodologies for Source-Specific Inference   [electronic resource],"Ji, Ziyu",University of Minnesota,2023,해외박사(DDOD)
,15,High Dimensional Data Methods in Industrial Organization Type Discrete Choice Models,"Lopez Gomez, Daniel Felipe",The Ohio State University,2022,해외박사(DDOD)
,16,Deep Learning with Multimodal Data for Healthcare,"Ismail, Nur Hafieza Binti",Texas A&M University,2020,해외박사(DDOD)
,17,Lasso Guarantees for Dependent Data,"Wong, Kam Chung",University of Michigan,2017,해외박사(DDOD)
,18,(A) pattern analysis of massive Seoul taxicab data for an efficient recommendation system,마종원,"Graduate School, Yonsei University",2018,국내석사
,19,Outcome Prediction Using Electronic Medical Record Data with Missing Entries,"Strandberg, Erika",Stanford University,2017,해외박사(DDOD)
,20,A Taxonomy for Business Models of Data-driven Healthcare Services = 데이터 기반 헬스케어 서비스의 비즈니스 모델 분류체계 개발,조은지,포항공과대학교 대학원,2022,국내석사
,21,"Latent Gaussian Copula Model for High Dimensional Mixed Data, and Its Applications","Quan, Xiaoyun",Cornell University,2020,해외박사(DDOD)
,22,Predicting Financial and Insurance data Using Artificial Intelligence Methodologies,이아람,이화여자대학교 대학원,2024,국내박사
,23,Canonical Correlation Analysis and Network Data Modeling: Statistical and Computational Properties,"Ma, Zhuang",University of Pennsylvania,2017,해외박사(DDOD)
,24,Anomaly Detection based on Sensor Measurement Data and Machine Learning Algorithms in Industrial  Control Systems = 산업 제어 시스템에서 센서 측정 데이터 및 기계 학습 알고리즘 기반 이상 탐지,민토,국방대하교 국방관리대학원,2023,국내석사
,25,Reduced Order Model for Global Atmospheric Chemistry Data,"Velegar, Meghana",University of Washington,2023,해외박사(DDOD)
,26,Framework of Goal Decision and Negotiation Models for Data-driven Self-reconfigurable Manufacturing Systems = 데이터기반 자가재구성 생산시스템을 위한 목적결정모델과 협상모델 프레임워크,"Lee, Sangil",부산대학교,2022,국내박사
,27,Computational Methods to Elucidate Post-transcriptional Gene Regulation Using High-throughput Sequencing Data,"Zhang, Zijun","University of California, Los Angeles",2019,해외박사(DDOD)
,28,"Machine Learning and Image Processing for Clinical Outcome Prediction: Applications in Medical Data from Patients with Traumatic Brain Injury, Ulcerative Colitis, and Heart Failure","Yao, Heming",University of Michigan,2021,해외박사(DDOD)
,29,Three Essays of Healthcare Data-driven Predictive Modeling,"Lou, Zhouyang",Purdue University,2023,해외박사(DDOD)
,30,Semiparametric Inference for Integrated Volatility Functionals Using High-Frequency Financial Data,"Liu, Yunxiao",The University of North Carolina at Chapel Hill,2017,해외박사(DDOD)
,31,Leveraging Machine Learning & Interpretability Methods for Limited Data: From Systems Biology to Healthcare Applications   [electronic resource],"Beebe-Wang, Nicasia",University of Washington,2023,해외박사(DDOD)
,32,A boosting method for metamodel generation based on large data,권혁호,한양대학교 대학원,2016,국내석사
,33,Feature selection based on geometric distance for high-dimensional data = 고차원 데이터를 위한 기하학적 거리 기반의 특징 선택,이진희,Pohang University of Science and Technology,2016,국내박사
,34,Pregnancy outcomes related to biologics exposure and incidence change during COVID-19 pandemic in immune-mediated inflammatory diseases : Korean nationwide population-based data analysis,안수민,한양대학교 대학원,2022,국내박사
,35,Development of a distributed computing framework for large-scale point cloud data processing in the construction industry,Hieu Minh Nguyen,"Graduate School, Yonsei University",2023,국내박사
,36,Towards FPGA-based enclaves for security and data integrity on clouds and IIoT devices,김한이,"Greduate School, Korea University",2021,국내박사
,37,A study on real-time processing of video stream data,"Jiang, Xing Chen",서울시립대학교,2018,국내석사
,38,Data de-identification framework,오준형,"Graduate School of Cybersecurity, Korea University",2021,국내박사
,39,(A) study on framework for predictive maintenance using IoT data : based on case analysis of steel industry,"You, Younghag","Graduate School, Yonsei University",2019,국내박사
,40,(A) MLP and Variational Autoencoder based cross-domain recommender system using text-augmented data,류동엽,경희대학교 대학원,2024,국내석사
,41,Data-Driven Insights into Food Safety Recalls: A Study Based on Web Scraping and Advanced Business Intelligence Techniques = 식품 안전 리콜에 대한 데이터 기반 인사이트: 웹 스크레이핑과 고급 비즈니스 인텔리전스 기법을 기반으로 한 연구,LINA MARIA CUERVO DIAZ,충북대학교 일반대학원,2024,국내석사
,42,Availability Modeling and Analysis of Data Center Systems using Stochastic Reward Nets : 데이터 센터 시스템의 가용성 모델링 및 분석,투안안,Korea Aerospace University,2015,국내박사
,43,Efficient and Adaptive Resource Management for Dynamically Optimizing Distributed Data Processing Systems = 효율적이고 유연한 자원 관리를 통한 분산 데이터 처리 시스템 성능의 동적 최적화,송원욱,서울대학교 대학원,2023,국내박사
,44,"Encounters beyond the interface: Data structures, material feminisms, and composition","Masters, Christine L",Purdue University,2016,해외박사(DDOD)
,45,A Hardware-Accelerated Scalable Inline Data Reduction for Modern SSD Arrays = SSD Array 의 인라인 데이터 절감을 위한 확장 가능한 하드웨어 가속 기술,"Ajdari, Mohammadamin",Pohang University of Science and Technology,2019,국내박사
,46,A Study on Efficient Data Augmentation Method for Automatic Classification of Plant Disease = 식물 병해충 자동 분류를 위한 효율적인 데이터 증강 방법에 관한 연구,이새봄,가천대학교 일반대학원,2023,국내석사
,47,Accelerating similarly structured data,"Wu, Lisa",Columbia University,2014,해외박사(DDOD)
,48,Mining Heterogeneous Spatial-Temporal Data with Graph Neural Network to Support Smart City Management,"Dong, Fan",The University of Arizona,2022,해외박사(DDOD)
,49,Visualization of Mining Results based on User Data in Social Media Content = 소셜미디어 콘텐츠에서 사용자 데이터 기반 마이닝 결과의 시각화,이효맹,원광대학교 일반대학원,2021,국내박사
,50,Distributed architecture and demand prediction for efficient management of data center resources,"Rayan, Alanazi",Graduate school of Dankook University,2019,국내박사
,51,Data driven component development and diagnosis in semiconductor manufacturing,"Kim, Taemin",Sungkyunkwan University,2022,국내박사
,52,Data Retention Enhancement of Non-Filamentary RRAM Synapse Arrays for Neuromorphic Systems = 뉴로모픽 시스템을 위한 데이터 보존 기능이 개선된 비-필라멘트형 저항 변화 소자 어레이,홍경호,서울대학교 대학원,2024,국내박사
,53,Adopting data management maturity (DMM) model practices in analytics maturity model,감수란,"Graduate School, Korea University",2018,국내석사
,54,Roulette data and financial market analysis based on chaos theory and multi-class prediction using machine learning,이희철,"Graduate School, Yonsei University",2023,국내박사
,55,"Forecasting market trends of technologies using Bigdata : An application of percentage analysis, Decision Tree analysis, data visualization analysis to forecasting",조용확,서강대학교 경영전문대학원,2014,국내석사
,56,Designing progressive visualization systems for exploring large-scale data,조재민,서울대학교 대학원,2020,국내박사
,57,Statistical Analysis for Network Data using Matrix Variate Models and Latent Space Models,"Zhang, Xuefei",University of Michigan,2020,해외박사(DDOD)
,58,Crowdsourcing Ground Truth Data Collection for Precision Agriculture Using a Citizen Science Mobile Application,"Posadas, Brianna Belen",University of Florida,2020,해외박사(DDOD)
,59,Detection of confidential data leaks through analysis of hacking forum posts based on machine learning,심선형,"Graduate School of Information, Yonsei University",2023,국내석사
,60,"Doing ""Good"" with Data? Understanding and Working Around Data Doubles in Human Services Organizations","Bopp, Chris",University of Colorado at Boulder,2020,해외박사(DDOD)
,61,Analyzing Imbalanced Social Data for Processing Spatial Information : 위치 정보 처리를 위한 불균형 소셜 데이터 분석,누옌트룽트리,Graduate School of Yeungnam University,2017,국내박사
,62,Domain-Specific Solid-State Data Storage Systems Design,"Zhang, Xuebin",Rensselaer Polytechnic Institute,2016,해외박사(DDOD)
,63,Monitoring and Workload Optimization of Garment Production Line using Power Consumption Data,정우균,서울대학교 대학원,2020,국내박사
,64,From genotype to phenotype: Studies on transcriptome analysis of biomedical and developmental data = 유전자형에서 표현형에 이르기까지: 생명의료 및 발생단계 데이터의 전사체 분석에 관한 연구,이성권,전남대학교,2023,국내박사
,65,A study on optimal algorithm and model for predicting water quality data using artificial intelligence = 인공지능을 활용한 최적의 수질데이터 예측 알고리즘 및 모델에 대한 연구,어인선,을지대학교 대학원,2024,국내석사
,66,(A) study on brillouin optical correlation domain analysis adopting time-domain data processing,류국빈,"Greduate School, Korea University",2021,국내박사
,67,Automatic dementia detection by machine learning techniques from clinical data,소아람,"Graduate School, Korea University",2020,국내박사
,68,Research on the Impact of Digital Economy Development on China's Economic Growth : Based on the Provincial Panel Data = 디지털 경제 발전이 중국 경제 성장에 미치는 영향:  성급 패널 데이터를 기반으로 함,CHEN XIA,고려대학교 대학원,2023,국내석사
,69,Acoustic data-based activities-aware method for smart home technology services,이상연,경희대학교 일반대학원,2015,국내석사
,70,Dynamic Traffic Engineering for Improving Energy Efficiency and Network Utilization of Data Center Networks : 데이터 센터 네트워크의 에너지 소모 절감 및 네트워크 자원 이용 효율 향상을 위한 동적 트래픽 엔지니어링,서신석,포항공과대학교 일반대학원,2014,국내박사
,71,"Role of Cartography, Design & Visualization in Making Personal Movement Data More Accessible, Legible, Valuable","Nelson, Jonathan Kerry",The Pennsylvania State University,2019,해외박사(DDOD)
,72,Bayesian Models for High-Dimensional Count Data with Feature Selection,"Li, Qiwei",Rice University,2016,해외박사(DDOD)
,73,머신러닝을 이용한 데이터 분석 연구 : 브랜드 클러스터링과 게임 리뷰 콘텐츠 사례연구를 중심으로 = The data analysis using on machine learning on approach : a case study of brand clustering and game review contents,강하나,한림대학교,2017,국내석사
,74,Development and validation sepsis clustering model with longitudinal multi-modal data,성민동,"Graduate School, Yonsei University",2023,국내박사
,75,Exploring Research Themes in Data Analytics for Small and Medium Enterprises (SMEs): An Integrated Review with Implications to the Philippines,라카산딜레  비르조  안,한양대학교 대학원,2024,국내석사
,76,Industrial Artificial Intelligence from Data Analytics to Simulation,김태완,포항공과대학교 일반대학원,2024,국내박사
,77,Study on crime investigation method based on social data analysis and artificial intelligence algorithm,안동욱,"Graduate School, Yonsei University",2020,국내박사
